date,reactor_id,reactor_type,run_day,manure_fed_kg,water_kg,air_temp_in_situ,digester_temp,pH,TS,ash,VS_wet,VS_dry,TAN,CH4_pct,CO2_pct,acetate,VFA,y_biogas_STP,y_CH4_STP,y_CH4_per_gVS,manure_water_ratio,daily_mean_air_temp,daily_max_air_temp,daily_min_air_temp,daily_solar,daily_precip,daily_atm_p,daily_vpd,daily_wind,daily_temp_range
2024-04-22,R2-FLEX,FLEX,,20.0,30.0,23.4,25.1,,,,,,,,,,,0.0,0.0,0.0,0.6666666666666666,18.634375,24.9,15.6,149.7076388888889,45.664,81.5026736111111,0.2607638888888888,0.824516129032258,9.3
2024-04-23,R2-FLEX,FLEX,,20.0,30.0,21.6,24.3,,,,,,,,,,,0.0,0.0,0.0,0.6666666666666666,18.97152777777778,24.4,16.0,136.0076388888889,30.557,81.4667013888889,0.2401041666666666,0.9626136363636364,8.399999999999999
2024-04-24,R2-FLEX,FLEX,,20.0,30.0,27.8,22.4,,,,,,,,,,,0.0,0.0,0.0,0.6666666666666666,18.105555555555554,24.1,15.5,138.92291666666668,29.974,81.44788194444445,0.1889236111111111,0.7051041666666666,8.600000000000001
2024-04-25,R2-FLEX,FLEX,,20.0,30.0,22.0,22.9,,,,,,,,,,,575.6135593220339,0.0,0.0,0.6666666666666666,19.136458333333334,24.1,16.1,177.97222222222223,13.837,81.39743055555556,0.2988194444444444,0.7764583333333334,8.0
2024-04-26,R2-FLEX,FLEX,,20.0,30.0,22.1,21.7,,,,,,,,,,,301.58590308370043,0.0,0.0,0.6666666666666666,17.441666666666666,23.1,15.8,101.18472222222222,5.101,81.48579861111111,0.1819791666666667,0.6486111111111111,7.300000000000001
2024-04-27,R2-FLEX,FLEX,,20.0,30.0,24.7,23.0,,,,,,,,,,,117.37991266375546,0.0,0.0,0.6666666666666666,18.668750000000003,25.0,14.9,168.24444444444444,5.206,81.41732638888888,0.3104513888888889,0.8275694444444445,10.1
2024-04-29,R2-FLEX,FLEX,,20.0,30.0,22.4,24.2,,,,,,,,,,,402.9383886255925,0.0,0.0,0.6666666666666666,17.710416666666667,22.8,14.4,102.90347222222222,28.601,81.5292013888889,0.1784375,0.7272432432432432,8.4
2024-04-30,R2-FLEX,FLEX,,20.0,30.0,26.3,23.1,,,,,,,,,,,344.7844971600401,0.0,0.0,0.6666666666666666,19.246180555555554,25.9,15.4,182.67777777777772,11.261,81.40770833333333,0.3294444444444444,0.6211111111111111,10.499999999999998
2024-05-01,R2-FLEX,FLEX,,20.0,30.0,26.5,23.7,,,,,,,,,,,145.84307178631053,0.0,0.0,0.6666666666666666,19.08194444444445,24.3,16.0,139.19722222222222,59.883,81.35878472222223,0.2757291666666666,0.5873263888888889,8.3
2024-05-02,R2-FLEX,FLEX,,20.0,30.0,21.3,23.5,,,,,,,,,,,421.1416921508665,0.0,0.0,0.6666666666666666,18.856250000000003,26.2,16.4,129.36111111111111,20.465,81.38517361111111,0.2534375,0.6594791666666667,9.8
