row_key,date,reactor_id,reactor_type,y_biogas_STP,ml_error_score,ml_error_q
2024-09-30|R1-FLEX|1990.949346,2024-09-30,R1-FLEX,FLEX,1990.9493458570944,1365.657420243514,1.0
2024-04-22|R3-FIXED DOME|1856.617892,2024-04-22,R3-FIXED DOME,FIXED_DOME,1856.6178915862988,1335.797985594204,0.9982547993019197
2024-05-28|R2-FLEX|1613.605048,2024-05-28,R2-FLEX,FLEX,1613.6050477489769,1281.3954848056696,0.9965095986038395
2024-05-28|R1-FLEX|1634.510595,2024-05-28,R1-FLEX,FLEX,1634.510595358224,1031.3596372257716,0.9947643979057592
2024-06-03|R3-FIXED DOME|81.547862,2024-06-03,R3-FIXED DOME,FIXED_DOME,81.5478615071283,1027.1628715523561,0.9930191972076788
2024-09-16|R3-FIXED DOME|1315.990691,2024-09-16,R3-FIXED DOME,FIXED_DOME,1315.9906914893618,993.5589292171105,0.9912739965095986
2024-09-09|R3-FIXED DOME|0.0,2024-09-09,R3-FIXED DOME,FIXED_DOME,0.0,982.3641995579424,0.9895287958115183
2024-09-23|R2-FLEX|1630.849563,2024-09-23,R2-FLEX,FLEX,1630.849563465413,971.9039299872532,0.987783595113438
2024-07-18|R2-FLEX|1304.92891,2024-07-18,R2-FLEX,FLEX,1304.9289099526068,956.9353806701826,0.9860383944153578
2024-05-13|R3-FIXED DOME|1833.130872,2024-05-13,R3-FIXED DOME,FIXED_DOME,1833.1308724832213,920.8726670303212,0.9842931937172775
2024-09-17|R1-FLEX|1334.706857,2024-09-17,R1-FLEX,FLEX,1334.706856575025,826.6441000151381,0.9825479930191972
2024-08-05|R4-FIXED DOME|1483.773896,2024-08-05,R4-FIXED DOME,FIXED_DOME,1483.7738958470668,826.3585709666606,0.9808027923211169
2024-09-02|R4-FIXED DOME|1412.779684,2024-09-02,R4-FIXED DOME,FIXED_DOME,1412.779684282773,812.9624049368415,0.9790575916230366
2024-09-16|R1-FLEX|1178.801859,2024-09-16,R1-FLEX,FLEX,1178.8018586126784,778.7051418648186,0.9773123909249564
2024-09-21|R2-FLEX|1110.322148,2024-09-21,R2-FLEX,FLEX,1110.3221476510066,749.1291049835427,0.9755671902268761
2024-05-08|R1-FLEX|0.0,2024-05-08,R1-FLEX,FLEX,0.0,727.7151145260323,0.9738219895287958
2024-10-11|R2-FLEX|1051.437864,2024-10-11,R2-FLEX,FLEX,1051.4378637452926,694.2647548308701,0.9720767888307156
2024-09-02|R4-FIXED DOME|262.322994,2024-09-02,R4-FIXED DOME,FIXED_DOME,262.3229939312205,693.3707720258724,0.9703315881326352
2024-10-12|R1-FLEX|1291.850354,2024-10-12,R1-FLEX,FLEX,1291.850353892821,680.3190912985178,0.9685863874345549
2024-08-06|R3-FIXED DOME|101.0,2024-08-06,R3-FIXED DOME,FIXED_DOME,101.0,679.4822134836372,0.9668411867364747
2024-09-02|R3-FIXED DOME|370.246584,2024-09-02,R3-FIXED DOME,FIXED_DOME,370.2465844718427,675.456419484471,0.9650959860383944
2024-09-09|R1-FLEX|0.0,2024-09-09,R1-FLEX,FLEX,0.0,675.1864984400672,0.9633507853403142
2024-07-18|R1-FLEX|1165.025853,2024-07-18,R1-FLEX,FLEX,1165.0258531540846,675.1787782121332,0.9616055846422339
2024-09-02|R3-FIXED DOME|1366.406733,2024-09-02,R3-FIXED DOME,FIXED_DOME,1366.4067330814153,664.8309503618102,0.9598603839441536
2024-04-29|R3-FIXED DOME|1759.616539,2024-04-29,R3-FIXED DOME,FIXED_DOME,1759.616538846282,662.1016346072645,0.9581151832460733
2024-07-29|R1-FLEX|1108.74276,2024-07-29,R1-FLEX,FLEX,1108.7427597955707,609.2147209496812,0.956369982547993
2024-05-06|R3-FIXED DOME|1690.97711,2024-05-06,R3-FIXED DOME,FIXED_DOME,1690.977109668603,605.5011604505466,0.9546247818499127
2024-09-30|R3-FIXED DOME|1387.75,2024-09-30,R3-FIXED DOME,FIXED_DOME,1387.75,595.8906408304172,0.9528795811518325
2024-06-10|R3-FIXED DOME|1558.28252,2024-06-10,R3-FIXED DOME,FIXED_DOME,1558.2825203252032,594.6666187198614,0.9511343804537522
2024-08-26|R4-FIXED DOME|1448.054314,2024-08-26,R4-FIXED DOME,FIXED_DOME,1448.0543141973187,589.3185931314239,0.9493891797556719
2024-09-24|R1-FLEX|189.544995,2024-09-24,R1-FLEX,FLEX,189.54499494438824,582.4850353864413,0.9476439790575916
2024-05-20|R1-FLEX|1189.107383,2024-05-20,R1-FLEX,FLEX,1189.1073825503356,580.4152335702743,0.9458987783595113
2024-07-08|R3-FIXED DOME|1513.61809,2024-07-08,R3-FIXED DOME,FIXED_DOME,1513.6180904522612,578.733258700014,0.944153577661431
2024-09-10|R3-FIXED DOME|0.0,2024-09-10,R3-FIXED DOME,FIXED_DOME,0.0,574.6897425966156,0.9424083769633508
2024-10-14|R3-FIXED DOME|1545.628141,2024-10-14,R3-FIXED DOME,FIXED_DOME,1545.6281407035176,561.5539737513527,0.9406631762652705
2024-09-20|R4-FIXED DOME|766.461072,2024-09-20,R4-FIXED DOME,FIXED_DOME,766.4610717896866,556.8020760640795,0.9389179755671903
2024-10-14|R1-FLEX|1346.504065,2024-10-14,R1-FLEX,FLEX,1346.5040650406504,554.1324576780386,0.93717277486911
2024-09-24|R2-FLEX|87.36,2024-09-24,R2-FLEX,FLEX,87.36,550.5407116703434,0.9354275741710296
